Team,Region,Future use,Requieres realease?,Future containment,"In case of release, would the organism or parts spread autonomously?",Containment measures,Answer on question 16,Project goal
NNU-China,Asia,"In a factory,Agriculture",No,NEI,NEI,None,"We will do experiments using standard lab protocols and accept safety training before experiment. E. coli DH5a and BL21(DE3) were originally cultured in the laboratory without risk of contamination of the environment. And the strain of E. coli we chose are classified as low risk . 
E. coli BL21 strain contains the lambda temperate prophage, a genetically mobile element that could lead to specialized transduction and genetic exchange with other organisms. It also possesses colonization factors that could lead to gut colonization. Therefore, the leakage of BL21(DE3) from the laboratory may have an impact on natural environmental microorganisms and humans. If they run out of the lab, they may cause environmental pollution such as water pollution. 
They will be strictly controlled for use in the laboratory. When E. coli finished work, we will sterilize the culture by reasonable ways like high temperature and high pressure, and then dispose the waste according to the requirements of relevant departments. So, our engineered organisms or parts don't spread autonomously in the environment. ",Private antimicrobial peptide customization system
NOFLS_YZ,Asia,"Human body or food,Biosensor",Yes,NEI,NEI,None,No,Biosensor for Inflammatory Bowel Disease
NPU-CHINA,Asia,Only lab,No,Fully Contained,No-contained,Killswitch,"With a high probability, the engineered organisms won't spread seriously , because we designed a auto-lysis system.",Aflatoxin degradation system
NTHU_Taiwan,Asia,"Agriculture,Field Use",Yes,Open release ,NEI,None,"The callus tissue of pine might not simply exit a lab and grow into an individual by itself. However, if the project were fully developed, ideally, our engineered pine species will be utilized in an artificial forest. That is, it is still possible that the seed of these pine trees will be carried and spread out by wild animals.",Anti-nematode Pine Tree
 NTU-Singapore,Asia,Consumer product,No,NEI,NEI,None,No,Improve CRISPR and isothermal amplification methods?
NUDT_CHINA,Asia,Foundational,No,NEI,No-unable,None,"This year we use HEK-293T cells as chasses, they are unable to survive when escaped the lab.",Light inducible control over cell life cycle
NUS_Singapore,Asia,"In a factory,Agriculture",No,Fully Contained,NEI,None,"Low risk - potential colonization and horizontal gene transfer of hygromycin resistance to wild-type species.

Our project will not involve the deployment of the engineered chassis outside of the bioreactor vessel. The Reactor itself will be designed to have built-in spill/leak redundancy as a form of physical/environmental containment measure. 

Production chassis will incorporate a blue-light inducible flocculation gene circuit that will result in the chassis flocculating to the bottom of the reactor vessel. Only the cell-free supernatant will be siphoned off from the top to prevent uptake of the chassis. Secondary biocontainment is achieved using a blue and red light-inducible AND gate that will trigger the expression of endonucleases to destroy any chassis organisms that were not flocculated. tertiary biocontainment is achieved through filtering Product from the reactor through a 0.22-micrometer membrane to prevent any remaining chassis organism from being retained in the final product

In the unlikely event of accidental release of the chassis, horizontal gene transfer of hygromycin resistance may occur. Chassis itself is not pathogenic in nature and is an auxotrophic species. Essentially it is unlikely to survive in the environment without proper nutrient supplementation. 

","Production of human beta-defensin, and antifungal protein."
NU_Kazakhstan,Asia,In a factory,No,Fully Contained,NEI,None,"We obtain rhamnolipids in the bioreactor and these materials will be separated from bacteria P. putida before going into the field, which means there will be almost no possibility for bacteria to be spread accidentally to the environment. 
The plasmid that is used to carry genes of interest has the Kanamycin resistance gene as a selection marker, so the transfected bacteria will have antibiotic resistance properties. In the case of its proliferation throughout the environment, resistance to the antibiotic can be given to other bacteria strains through horizontal gene transfer.
During the seperation, rhamnolipids can fail to be completely separated from mutated strain and as a result, the undesired product will be obtained. There is still a chance that other metabolites (including toxins) can be produced along with rhamnolipids and along, consequently, these toxins can have detrimental effects on the local environment where they will be poured. ",Increase production of rhamnolipids in Pseudomonas aeruginosa
NWU-CHINA-A,Asia,"In a factory,Consumer product",No,Partially Contained,NEI,None,"After the dye is combined with the fabric, the bacteria will be killed by the high temperature.",Production of purple dye
NWU-CHINA-B,Asia,"In a factory,Consumer product",No,NEI,NEI,None,"Microbes may reproduce under certain conditions, but become nutritionally deficient over time and eventually die.
The expression of the target gene needs to be induced under specific conditions, so the possibility of high expression is very small.",Production of an enhanced glucosidase
NYCU-Taipei,Asia,"Consumer product,Small enclosed device,Human body or food",No,Partially Contained,NEI,None,"Engineered microorganisms should be manipulate carefully and not released to the environment. As the consequences may be unpredictable, we will create a temperature-dependent killing switch that destroys the engineered organisms themselves to avoid them to spread in the environment.",Production of Nattokinase to prevent thrombosis
NYU_Abu_Dhabi,Asia,Natural environment,Yes,NEI,NEI,None,"No because this project is working only on the segment of the gene which is transformed in the level 1 biosafety bacteria (E.Coli DH5-Alpha). Therefore we should not see any gene expression in the E.Coli we are working with nor it would spread anywhere. Regardless, proper waste disposal is of importance to ensure safety. ",Generate a device that detects fungal infection  on amphibians
OUC-China,Asia,Small enclosed device,Yes,Partially Contained,NEI,None,"If our device was used improperly or discarded carelessly, the antibiotic resistant bacteria may escape to the environment. But it will be solved by changing our chassis into nutritional deficiency strains, so they will not growth without artificial medium.",Biosensor for 3 types of antibiotics. 
OUC-R,Asia,Only lab,No,Fully Contained,NEI,None,"Our engineered parts won't spread autonomously in the environment. For further research on our project in the future, we need to introduce double-stranded DNA into human cells, which survive in a strict laboratory environment with a very low probability of survival in the wild.","A biosensor? for cobalt and nickel ions, as well as protein ZBP1"
PuiChing_Macau,Asia,Only lab,No,Fully Contained,NEI,None,"Very unlikely. Our engineered organisms will be used in factory setting, having very low risk to spread. Moreover, our parts and organisms are in Biosafety Level-1, where there is low risk for accidental release.",Transformation of food waste into bioplsatic
Qdai,Asia,"In a factory,Consumer product,Agriculture,Small enclosed device,Biosensor",Yes,Partially Contained,No-contained,"Killswitch,Physical containment","We aim to make the possibility of our engineered organisms and parts spreading autonomously in the environment as close to zero as possible by performing physical containment and inserting a kill switch called Deadman into the genetic circuit of the bacteria. The Deadman kill switch acts as a passively activated biocontainment system. It uses a small molecule binding transcription factor to produce a survival state in which repression of toxin production is linked to the presence of a specific environmental signal. Accordingly, we chose Deadman as our strategy because the Deadman-inserted bacteria cannot survive without certain substances, which is an effective biological containment measure.",Carbon Monoxide biosensor
QHFZ,Asia,"Foundational,Only lab",No,Fully Contained,NEI,None,No.,Synthesis of indigo violet-
RDFZ-CHINA,Asia,Agriculture,Yes,Open release ,No-contained,Killswitch,"The product of our project won't be released to the environment and spread. Because the spread of PDB without control can also raise plants disease. So, the emission of our products will be highly controlled by the negative feedback we designed to prevent environmental spread. The DSF molecule will be produced when our product -- the PDB that contains the sequence of Xoo-sp2-- is massively generated, which will then activate the phage expression inside the PDB. The phage will immediately break the PDB to control its expression and spreading.",Repression of Xanthomonas' infection
SCAU-China,Asia,"In a factory,Small enclosed device",Yes,Partially Contained,No-contained,Physical containment,"To prevent algae from escaping and causing horizontal gene transfer, we designed a device consisting of two transparent boxes. The screw holes are responsible for fixing the inner and outer frames. And the sampling hole will be used for sampling to obtain the density of the algae. And put the fixed algae cells into the inner frame. The outer side of the inner frame is a semi-permeable membrane and a filter. It can prevent near-infrared light from entering, leading to light suicide. Only ions and small molecules can enter through the semi-permeable membrane. The entire device is made of transparent materials, allowing sunlight to come in, allowing the algae to grow healthily. In order to prevent gene leakage, the modified cells are fixed by embedding method and semi-permeable membrane. For embedding materials, since sodium alginate is easy to break in the presence of potassium and magnesium, we will add PVA to strengthen it. In addition, we use cellulose acetate membrane as a semi-permeable membrane, which is non-toxic, stable and can intercept our algae.",Bioremediation of heavy metal 
SCU-China,Asia,"Foundational,Only lab,In a factory,Small enclosed device",No,NEI,NEI,None,nope,Regulatory system for gene expression  in Vibrio natriegens
SCUT-China,Asia,In a factory,Yes,Fully Contained,No-contained,"Killswitch,Auxotrophy","As we hope that the modified strains can achieve high yield in the factory environment, the economic benefit is a very important point to consider. Besides, the chassis Saccharomyces cerevisiae and parts we use are harmless to the human body and the environment. It is a pity that the kill switches and other incorporated biocontainment strategies will impose a burden on the species, and auxotrophy species will need additional substrates, which will increase the cost. The other reason we did not use the incorporated biocontainment strategies for our strains is that our modified strains may be used in the factory, where the possibility of escape of strains is low. In the laboratory, our members have also received comprehensive experimental training to the reduce the possibility of leakage in the laboratory as much as possible.",Industrial production of nootkatone
SDSZ_China,Asia,"In a factory,Natural environment",No,Fully Contained,No-contained,Killswitch,"Yes, because the engineer bacteria and parts strains we are using are for commercial uses, if they spread autonomously into the environment, its competitiveness are far less than that on the natural strains that exist in the environment, so it will likely die out quickly. Furthermore, the suicide switch we introduced into the E. coli ensured us to be able to regulate the bacteria even if it is released into the environment. ",Engineering to allow bacterial mineralization
ShanghaiTech_China,Asia,Human body or food,Yes,Open release ,No-unable,None,"We use cells, which can hardly survive in normal places, even in normal labs, in our project, so there exists little risk.",Bacterial glue to paste bones together.
Shanghai_city,Asia,Human body or food,Yes,Open release ,NEI,None,no,Increase expression of serotonin in vivo
Shanghai_City_United,Asia,Agriculture,Yes,Open release ,NEI,None,No ,Use B subtilis as aditive for poultry food.
Shanghai_high_school,Asia,"Agriculture,Human body or food",Yes,NEI,NEI,None,No,Enhance anti viral activity of VP7
Shanghai_HS,Asia,Human body or food,No,NEI,NEI,None,No.,Not sure about the objective of this project
Shanghai_HS_ID,Asia,"Foundational,Only lab",No,Fully Contained,NEI,None,No,Aims to obtain strains with high conversion efficency of exogenus DNA?
Shanghai_HS_United,Asia,Human body or food,Yes,Open release ,NEI,None,NONE,Overexpression of Falvone degradating enzime to enhance body's metabolism
Shanghai_Metro,Asia,"Digital or non-biological products ,Only lab",No,Fully Contained,NEI,None,No,onstitutively express the effector factors of T6SS in industrial strains
Shanghai_Metropolis,Asia,Human body or food,Yes,NEI,NEI,None,No,"lactic acid bacteria as an expression system to express EV71 vp1 and LTB fusion protein, promoting LTB as a mucosal immune adjuvant to enhance the antiviral ability of vp1."
Shanghai_Metro_HS,Asia,Agriculture,No,NEI,NEI,None,No ,preparing cellulase and explore the best conditions for degradation of cellulose.
Shanghai_Metro_Utd,Asia,Only lab,No,Fully Contained,NEI,None,no,Production of ANG protein 
Shanghai_United,Asia,"Small enclosed device,Biosensor",Yes,NEI,NEI,None,No,Arsenic biosensor
Shanghai_United_HS,Asia,Human body or food,Yes,NEI,NEI,None,No,Engineered probiotic to fight dental caries in oral cavity
SHSBNU_China,Asia,In a factory,No,NEI,NEI,None,"No, there will not be any.",I think the teams missed putting a bit more context
SHSID,Asia,In a factory,No,Fully Contained,NEI,None,No.,Engineer arginine metabolism and polyamine biosynthesis
SJTang,Asia,"In a factory,Consumer product,Small enclosed device",No,Fully Contained,No-unable,None,No. Our engineered R.palustris will die outside the lab as it requires an anaerobic environment to survive.,Optimize the production of biological hydrogen
SJTU-BioX-Shanghai,Asia,"In a factory,Consumer product,Agriculture,Small enclosed device",No,NEI,NEI,None,"Now no parts in our project is obviously harmful to the environment,so no strategies have been considered.",Identification of aptameer-ribozome coupling
SJTU-Software,Asia,"Foundational,Only lab",No,Fully Contained,No-no-organisms,None,Our project does not involve organisms or parts.,The generation of a DNA computing platform (software)
SMS_Shenzhen,Asia,"Small enclosed device,Cell-Free",Yes,Fully Contained,No-no-organisms,None,The engineered organisms and parts could not spread autonomously in the environment because only purified enzymes need to function in cleaning the gum base. ,Production of spray that may degradate chewing gum 
 SUSTech_Shenzhen,Asia,Human body or food,Yes,NEI,No-contained,Killswitch,The kill switches will be design in this program and the detail has not been decided yet.,"Treatment of dehydration and diarrhea, Production of cloanic acid. "
Sydney_Australia,Asia,Only lab,No,Fully Contained,NEI,None,"No. We do not believe that the lab E.coli will survive well in the environment, and the modifications made to the strain would not dramatically improve its chances of survival if it ended up e.g. down the sink. We have a layer of biocontainment in place (requirement for salicylate induction) which helps to ensure that the natural transformation system is not activated outside the lab context. ",Bacteria that can easily take genetic material from the environment?
SYSU-CHINA,Asia,"In a factory,Small enclosed device",No,Fully Contained,Yes-possible,None,There is no field trial in our project so the only chance for the microbes to escape is an accidental breach. However our engineered E.coli have very slim chance to outcompete the wild type. Yet we can still deprive our modified E.coli of the ability of synthesizing the must-needed material for its survival by adding inhibiting gene on our circRNA.,Production of circular DNA to increment reaction systems
SYSU-Software,Asia,"Digital or non-biological products ,Other",No,Fully Contained,No-no-organisms,None,"We are building a software, and the organism it design can spread in the environment if our users let them escape the lab. So, to avoid the risks, we will make a declaration in the homepage of our software to remind users the potential risks and urge them not to release any organisms or parts designed by our software to the environment.In this way, we can effectively decrease the risk of the abuse of our software. And for the organisms we engineered during the project developing process, they are for proof of concept only, and we will not keep them anymore after our project were fully developed. ",Build a software that allows user to rebuild proteins into opto-controllable proteins
SZPT-CHINA,Asia,Human body or food,Yes,Open release ,No-contained,Killswitch,"We have designed a suicide mechanism to avoid engineered organisms escape in environment.

We use a light-activated transcriptional promoter (pDawn) which uses a light-oxygen-voltage domain to regulate gene expression according to blue light illumination to optically regulate expression of LKD that can make bacterial lysis. Then our chassis will dead by itself.",Combat against Pseudomonas aeruginosa in burn wounds treatment
SZU-China,Asia,Human body or food,Yes,Open release ,No-contained,"Auxotrophy,Killswitch","No. We designed acid-sensitive promoters to ensure that engineered bacteria were initiated under acidic colonic conditions. We designed an arabinose-sensitive active suicide switch. When patients ingested arabinose, the engineered bacteria were killed by the mazF protein expressed by the switch. We designed a glucose-sensitive passive suicide switch in which the engineered bacteria can be killed by the mazF protein expressed by the suicide switch when it is released into the environment (low glucose concentration). We designed a phosphate-sensitive passive suicide switch in which the engineered bacteria can be killed by the mazF protein expressed by the kill switch when it was released into the blood (high phosphate concentration).",Production of butyrate to fight IBD
 SZ_SHD,Asia,"Consumer product,Cell-Free",Yes,NEI,No-no-organisms,None,"Our engineered organisms will not spread in the environment, because our final product will only contain the enzymes expressed by them,",Production of keratinase to remove body hair
TAS_Taipei,Asia,"Only lab,Small enclosed device,Human body or food",Yes,NEI,NEI,None,"No, our engineered organism or parts would not spread autonomously in the environment. ","No, our engineered organism or parts would not spread autonomously in the environment. "
TAU_Israel,Asia,"Foundational,Agriculture,Human body or food",No,Fully Contained,No-no-organisms,None,"Our project would provide an available software tool for users requiring to selectively bioengineer members of microbial communities for their needs, without concerning horizontal gene transfer's consequences. This, when fully developed, would allow introducing the modified bacteria into either synthetic or natural bacterial communities in an eco-safely manner, eliminating the possibility of the gene of interest uncontrolled-spreading. 
As an extra means of caution, or when the software predicts poor optimization score, incorporation of biocontainment mechanisms would be added to the engineered plasmid to ensure high safety standards. For instance, in addition to the GOI, the plasmid will include a toxic gene whose expression depends on an activator belonging to the deoptimized bacteria only. In this case, when the plasmid would transfer to the deoptimized bacteria, the toxic gene will be activated to kill the bacteria, while leaving the optimized bacteria unharmed since it is lacking that activator. 

",Software that will optimize plasmids for specific species.
The_Webb_Schools,Asia,Human body or food,Yes,NEI,NEI,None,No,Expression of antioxidant enzyme
Think_Edu_China,Asia,In a factory,No,Fully Contained,NEI,None,The engineered organism can't survive in nature .,Combat to antibiotic resistance by forming a Laccase membrane that can decompose antibiotics.
THIS-China,Asia,"Consumer product,Human body or food",Yes,Partially Contained,No-contained,Physical containment,"yes there is the possibilities, but we have design a way to stop this from happening.We have a hardware designed to forbidden the bacteria from getting to the outside environment, while with a semipermeable membrane that can still allow CSP to get in.",Biosensor for different level of oral diasease severity
Tianjin,Asia,Foundational,No,Fully Contained,No-unable,Reduced survivality,"As our organisms lose all of its' chromosomes, they have no ability to proliferate. So they are unlikely to pollute the environment of our Lab.At the same time, our strains are auxotrophic. They must be added with specific amino acids such as histidine, leucine, and uracil in order to grow.",Production of chromose-free Sacharomyces cells.
TJUSLS_China,Asia,"In a factory,Natural environment",Yes,Partially Contained,NEI,None,"No engineered organisms or part will escape the lab and spread autonomously. Our operations are in accordance with the relevant safety procedures and carried out in the laboratory, which makes this situation almost impossible to happen. ",improvement of PETase
TokyoTech,Asia,"Consumer product,Human body or food",Yes,NEI,No-contained,Killswitch,"We have a plan to build a containment mechanism in our engineered organism before using it in the environment. We are considering using kill-switch which depends on the concentration of oxygen. We chose it because the intestinal level of oxygen is low. In addition, there is the low-oxygen environment in the sewage disposal system. The engineered bacteria will die without being released environment.",Identification of oral biofilm and produce antibacterial agents to fight bacteria.
Tongji_China,Asia,Natural environment,Yes,Open release ,No-contained,Killswitch,"If our project works successfully, we need to put our genetically modified bacteria into the garbage and they may be released to the natural environment. So we design a three-gear adjustable kill switch based on odor sensors, Dre recombinase system and toxin-antitoxin system. Under culture condition, none of the pathway can be activated. When the bio-engineered bacteria are put into work, high density of hydrogen sulfide in the environment induces the expression of Dre recombinase and MazF (antitoxin), followed by terminator removal and MazE (toxin) expression. Once our bio-engineered bacteria leak to the environment, low density of hydrogen sulfide inhibits MazF (antitoxin) expression. Without the rescue of MazF(antitoxin), bio-engineered bacteria will be killed by the accumulation of MazE (toxin).",Odor fighting bacteria.
Tongji_Software,Asia,Digital or non-biological products ,No,Fully Contained,No-no-organisms,None,We don't use any organism.,"""We hope to use computers to make people more aware of CRISPR and, further, to solve the problem of bacterial resistance.
We will not use any organism."""
Tsinghua,Asia,"Only lab,Human body or food",Yes,Open release ,No-contained,Auxotrophy,Presumably no. We would incorporate auxotrophy into the final version of the engineered organisms in order to prevent their autonomous spread.,Interactive cells systems with intestional microflora.
UBrawijaya,Asia,"Only lab,In a factory,Consumer product,Human body or food",No,Fully Contained,NEI,None,"No, because we will follow the safety measures before releasing them as waste into the environment. Therefore microorganisms will be inactivated and thus they will not pose any risks of gene transfer or polluting the environment. ",Overexpression of outer membrane vesicles.
UCAS-China,Asia,"In a factory,Consumer product,Human body or food",Yes,Partially Contained,No-contained,Killswitch,"To prevent diffusion into the environment, we used the relBE toxin-antitoxin system and regulated expression with the temperature-controlled promoter Ptrc. The reason for this choice is that relBE is a more well-studied group of toxin-antitoxins and can target E. coli rapidly with better action. The temperature control promoter has a relatively small regulatory range, and during production we can precisely control the temperature, but in nature the temperature difference throughout the day has exceeded its regulatory range, so it can raise toxin levels and kill E. coli.",Caffeine remover system
UESTC-China,Asia,"Consumer product,Small enclosed device",No,NEI,No-contained,Physical containment,"The future application scenario of this project is to deink the paper, and the hardware we designed will kill the Pichia pastoris through heating or ultraviolet radiation after the deinking, so as to ensure that the bacteria will not escape to the external environment. It poses a threat to the environment and human health.",Proteins for deinking
UGM_Indonesia,Asia,"Only lab,In a factory,Small enclosed device",No,Fully Contained,NEI,None,"If it was fully developed, we wouldn't let our engineered bacteria spread to the environment. However, it will be applied in a bioreactor to minimize the chance of spreads to the environment. We also plan to secure the bioreactor so that the outlet of the bioreactor will demolish the bacteria before it is in contact with the environment.",Production of cyanide?! Ok then the same bacteria degradates it... still have some doubts about the project haha
UI_Indonesia,Asia,Human body or food,Yes,NEI,No-contained,Killswitch,"It can, but we have implemented a kill-switch system into our organisms that will trigger after a time constant. Furthermore, our organisms secrete antimicrobial peptides which itself would be autotoxic in large enough doses, constraining autonomic spread. ",Destruction of biofilm and secretion of bactericidal peptides against H. pylori.
Ulink-SIP,Asia,"In a factory,Consumer product,Human body or food",Yes,NEI,No-contained,Killswitch, We will use inducible promoters to express our genes such as IPTG inducible promoter. And we will design suicide switch such as UV light inducible switch to prevent environmental spread.,efficient 2-fucosyllactose(2'-FL) production using inexpensive glycerol as a carbon feed stock and lactose as a precursor
UM_Macau,Asia,"In a factory,Consumer product,Human body or food",Yes,Fully Contained,No-contained,Physical containment,"Our engineered organisms or parts spread will not autonomously in the environment. In the process of beer production, impurities including yeast in the beer will be removed by filtration before bottling, and the collected impurities will be properly processed. Moreover, due to the presence of endochitinase, it is expected that yeast will die after fermentation because of the damage of the cell wall caused by the decomposition of chitin in the cell wall. This will be tested experimentally.",Production of beer with low purine content and antioxidants
United_Shanghai_HS,Asia,"Natural environment,Field Use",Yes,Open release ,NEI,None,"We choose Bacillus subtilis as the chassis organism, which is widely used in biological fermentation production. By the way, during the experiments, all the wastes will be sterilized before discarding.",PETase production 
UNSW_Australia,Asia,"Natural environment,Field Use",Yes,Open release ,No-contained,Killswitch,"Under the iGEM No Release Policy, no engineered organisms from the UNSW iGEM team will be intentionally released outside the laboratory. Instead, our goal is to set the foundations for genetically modifying micro-algal coral symbiont to become more thermotolerant to rising sea temperatures. This could potentially mitigate the issues of coral bleaching seen along the Australian coasts and the eventual decline of coral health and its population. However, if our project were to be fully developed into this, safety, security, and ethical risks must be considered before introducing them into the environment. Therefore, incorporating a kill switch will be an essential precaution for releasing X into the environment. 
Our kill switch will utilise the natural mechanism by which Symbiodinium associates with its coral hosts to activate a toxin/antitoxin system. The interaction of microbe-associated molecular patterns (MAMPs) on Symbiodinium with the pattern recognition receptors (PRRs) on the corals facilitates the endocytosis of the microalgae by the coral tissue. The microalgae then reside within the coral polyp tissue in a symbiosome vacuole through constant cell surface interaction, separated from the rest of the coral cytoplasm. When the microalgae are expelled from the coral, the MAMP/PRR interaction is lost. Our kill switch will use this described mechanism to activate a toxin/antitoxin system. The toxin will be constitutively produced under a weak promoter, allowing Symbiodinium to survive for some time, even when detached from a coral host. However, if the Symbiodinium is dissociated with the coral cells for a more extended period, the toxin build-up will cause cellular death and degradation. MAMP/PRR interaction will activate an inducible promoter to produce an anti-toxin when associated with the coral. The anti-toxin will neutralise the toxin and allow the Symbiodinium to continue regular nutrient exchange with the coral cell.",Improve thermotolerance and antioxidant capacities of Symbiodinium goreaui (S. goreaui)
USTC,Asia,Only lab,No,Fully Contained,NEI,None,No,Quantitative protein detection method
USTC-Software,Asia,Digital or non-biological products ,No,Fully Contained,No-no-organisms,None,"We are a software team, so there's no engineered organisms.","offering an highly-efficient software to our user, we collect some important properties of protein sequence"
UTokyo,Asia,"Consumer product,Small enclosed device,Human body or food",Yes,Partially Contained,No-contained,Physical containment,"Yeasts that secrete defensins may have an advantage over other bacteria in the environment, so it can spread rapidly in the environment if it escapes to the environment. To prevent this, we will encapsulate the GM Yeast to ""Cell fiber"" which is made of the material which is permeable to small molecules and impermeable to large molecules.",Wound cleaning system
Victoria_Wellington,Asia,"Only lab,In a factory",No,Fully Contained,Yes-possible,None,"We do not intend to allow our E.coli or Cyanobacteria strains to leave the PC2 containment lab environment. Therefore, escape from the laboratory is unlikely. In the unlikely event of accidental escape, it is possible that these modified strains may spread autonomously outside of a lab environment, however this risk is minimized by following PC2 containment procedures within an approved transitional containment facility laboratory as described in Australia and New Zealand Standard 2243.3:2010. Should escape occur, it is likely that any transgenes would be purged as there would be no selection pressure to keep the resistance plasmid containing our transgenes in the organism.",pathway to synthesize a tropane alkaloid intermediate (tropine) from an abundant precursor found in cyanobacteria.
WFLA_YK_PAO,Asia,Human body or food,Yes,NEI,NEI,None,No,PETase production to combat microplastic 
Whittle,Asia,"Agriculture,Natural environment,Field Use",Yes,Open release ,No-contained,Killswitch,"Because cyanobacteria are autotrophic organisms, and at the same time they promote the growth of surrounding plants, once they escape into the environment, there will be a risk of ecological balance.  Therefore, we will consider adding suicide genes to cyanobacteria in the future, and using hardware and software to control the growth of cyanobacteria.",Indole-3-acetic acid producing cyanobacteria.
WHU-China,Asia,"In a factory,Consumer product,Human body or food",Yes,Open release ,No-contained,Reduced survivality,"Yes. We have 2 plasmids each contains different parts and antibiotic resistant genes. Previously there is no mechanism to prevent them from spreading into the environment. But we do have a mechanism to prevent our engineering bacteria from polluting the environment, thus undermine the possibility of plasmid spreading.",Propionibacterium acnes fighting system  
Worldshaper-Nanjing,Asia,In a factory,No,Fully Contained,NEI,None, The engineered organisms  will be strictly controlled in the factory.,Production of linolenic acid from kitchen oil waste
Worldshaper-Shanghai,Asia,"Foundational,Only lab",No,Fully Contained,NEI,None,No,Generation of alzheimer disease models
 XHD-Wuhan-A-China,Asia,Natural environment,Yes,NEI,NEI,None,No.,Reduction of nitrates on field. 
XHD-Wuhan-B-China,Asia,Foundational,No,Fully Contained,No-unable,Reduced survivality,"Our engineered E.coli K-12 MG655 strain contains a cheZ knock-out which ruduces the mobility of cells. Our circuts don't involve gene drives or any other technique to facilitate gene spreeding. Our engineered E.coli, if fully developed, will stop cell division under green light exposure (which holds a good propotion of natural light), hence have minimal survival chance in the wild.",Division control system.
XHD-Wuhan-Pro-China,Asia,"Only lab,Human body or food",Yes,NEI,NEI,None,"No, they will be controled ,and they can only survive at certain pH and temperature.",Bacteria that fights acohol-poisoning
Xiamen_City,Asia,Human body or food,Yes,NEI,NEI,None,No,Obtain a fruit wine yeast that degradastes pectin and ferments alcohol.
XJTLU-CHINA,Asia,"Only lab,Small enclosed device",Yes,NEI,No-contained,Killswitch,"The kill switch is designed in the edited phage, which the CRISPR-Cas9 system replace gp24 (an essential gene for phage construction) with LuxR to prevent the phage assembly in the first generation.",Quantitative detection method of bacterial pathogens.
XJTU-China,Asia,"In a factory,Consumer product,Small enclosed device,Human body or food",No,Fully Contained,Yes-possible,None,"Yes, it is possible to be spread into environment accidentally. But our engineered bacteria will not produce toxicity and pathogenicity in the environment  ",Higher yields of tryptophan
XMU-China,Asia,"In a factory,Natural environment",No,Fully Contained,No-contained,Killswitch,"As we decided to install a kill switch in our engineered organisms, the kill switch can be triggered only if they are trying to escape, they will not spread autonomously in the environment.","Degradation of polysaccharides, as well as rhamnolipids secretion. "
YiYe-China,Asia,"Only lab,Biosensor,Cell-Free",No,Fully Contained,No-no-organisms,None,Our designed parts will be used in the cell free system and will be used only in the lab. ,"Biosensor, to detect colorectal cancer."
Yonsei_Korea,Asia,"Small enclosed device,Natural environment,Biosensor,Agriculture,Cell-Free",Yes,Fully Contained,No-no-organisms,None,"If our project is fully developed, it would not pose any environmental risks since we would be developing a tool that involves synthetic DNA with cleaving activity. Plus, our deoxyribozyme would require a special condition to carry out its cleaving activity. Synthetic DNA cannot spread autonomously in the environment. ",Design and create a simple technique that allows for the early stage detection of the pathogen Magnaporthe oryzae in rice blasts
Yucai_SZ,Asia,Only lab,No,Fully Contained,NEI,None,"After mineralization, we will not need living bacteria and water environment, so we can kill bacteria by high temperature and drying.",Light induced system that can generate a mineralized composite material. 
ZJU-China,Asia,Human body or food,Yes,NEI,NEI,Reduced survivality,"The processed virus may be carried to the environment if the investigator accidentally get infected. However, the infectious ability of the virus has been reduced because the lack of E1 gene which is necessary to its viability and unless they are injected directly, the possibility of being infected is close to none. So it may be impossible to spread among the crowds.",Engineered virus to treat cancer cells.
ZJUT-China,Asia,"Consumer product,Natural environment,Agriculture,Biosensor,Cell-Free",No,NEI,No-no-organisms,None,None of our engineered organisms or parts can spread autonomously in the environment.,"Cell-free biosensor, other than that the team does not explain much."
Aachen,Europe,"Foundational,Cell-Free",No,Fully Contained,No-unable,None,"The only risk is the unintentional spread of the synthesized DNA strands. However, these strands do not code for any biological function and are more or less random.",Long term data storage
Aalto-Helsinki,Europe,"Human body or food,Biosensor",Yes,Open release ,No-contained,Killswitch,"Yes, the continued development of our project could cause the spread of our engineered organisms in the environment. Our capsule containing our genetically modified E.coli or S. cerevisiae biosensor, or an E.coli or S. cerevisiae lysate cell-free biosensor, could potentially be ingested and tested in clinical trials far into the future past the iGEM competition. We will implement kill-switches for our whole-cell based biosensor, to prevent the spread of genetically modified E.coli and S. cerevisae. Ideally, we would like to begin with a cell-based biosensor and then advance to a cell-free system to eliminate this GMO risk. If we are using a cell-free system, we will implement DNAase into the compartment to degrade designed plasmids. We would also have to ensure that the capsule is properly stored so that no leakage occurs if broken. ",Proof of concept biosensor for metabolic concentration
Aboa,Europe,Other,No,Partially Contained,No-contained,Killswitch,The engineered organisms could only accidentally be released into the environment. The risk would be minimized with the use of an effective metal-inducible killswitch which is integrated in the genome of the cyanobacterial producer strain. The technical execution would rely on a separate kill tank in which the killswitch is activated upon accidental release of the engineered cyanobacteria. This could occur for example in case of filter failure that allows living cells to pass into the collected enzyme fraction. MazF is an example of an effective killswitch used in cyanobacteria.,Detoxification of diclofenac
ACIBADEM_ISTANBUL,Europe,Only lab,No,Fully Contained,Yes-possible,None,No,Bacteria will be engineered to produce specific proteins nicking specific DNA sequences and those recombinant proteins will be used to design new generation signal amplification system.
